order_no,invoice_no,category,sub_category,purchase_header,buyer_employee_id,approver_employee_id,supplier_name,company_id,supplier_id,contract_value,created
EOR686338,EHR-60060117,Information Technology,Hardware,HOSPITAL AND SURGICAL EQUIPMENT INSTRUMENTS AND SUPPLIES,E601204,E600307,Christine Trading,ABN 43 365 431 228,S3064,850000,23-Jul-2021
EOR686339,EHR-60060118,Professional Services,Technical Consulting,Deodorants Room All Types,E600142,E600989,Julie Apparel,ABN 42 398 293 588,S3097,550000,27-Nov-2021
EOR686340,EHR-60060119,Professional Services,Engineering,Orthopedic Equipment: Bone Plates Bone Saws Cast Cutters,E600776,E601177,Justin Property,ABN 45 373 645 203,S3072,60000,21-May-2022
EOR686341,EHR-60060120,Administrative Support,Mail,Couplings,E600292,E601471,Christine Trading,ABN 43 365 431 228,S3064,210000,08-Nov-2021
EOR686342,EHR-60060121,Travel,International,ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC),E601274,E601131,John Lawyers,ABN 44 308 583 722,S3007,400000,08-Mar-2022
EOR686343,EHR-60060122,Travel,Local,Pails Buckets Tubs etc. (See 450-34 and 450-87 for Other,E601388,E600411,Laura Clinic,ABN 42 309 583 387,S3008,690000,04-Aug-2021
EOR686344,EHR-60060123,Administrative Support,Printing,ARCHITECTURAL SERVICES PROFESSIONAL,E600088,E600165,Mary Clinic,ABN 47 384 405 272,S3083,730000,10-Feb-2022
EOR686345,EHR-60060124,Insurance,Property,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E601198,E600145,Paul Builders,ABN 46 342 354 501,S3041,300000,03-Nov-2021
EOR686346,EHR-60060125,Insurance,Commercial,Lumber Hardwood All Kinds,E600428,E600517,Richard Physiotherapy,ABN 47 326 771 456,S3025,830000,06-Oct-2021
EOR686347,EHR-60060126,Professional Services,Legal,Pipe Fittings Misc. (Not Otherwise Classified),E600186,E600335,Robert Clinic,ABN 43 387 299 747,S3086,660000,25-May-2021
EOR686348,EHR-60060127,Professional Services,Technical Consulting,FIRE PROTECTION EQUIPMENT AND SUPPLIES,E601124,E601041,Stephanie Finance,ABN 42 341 567 697,S3040,830000,04-Sep-2021
EOR686349,EHR-60060128,Administrative Support,Printing,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600848,E601231,Jared Builders,ABN 47 328 550 156,S3027,870000,26-May-2021
EOR686350,EHR-60060129,Professional Services,Technical Consulting,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600690,E601495,Kimberly Lawyers,ABN 46 317 150 125,S3016,860000,19-Mar-2022
EOR686351,EHR-60060130,Insurance,Event,Paper Goods: Diapers Medication Blister Cards Pillow Cases,E600746,E600639,Tiffany Apparel,ABN 45 376 312 757,S3075,410000,20-Feb-2021
EOR686352,EHR-60060131,Information Technology,Hardware,Training and Recreational Aids for the Handicapped,E600164,E600267,Cindy Clinic,ABN 41 347 279 364,S3046,760000,07-Jun-2022
EOR686353,EHR-60060132,Travel,Local,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E601170,E600443,Carol Lawyers,ABN 42 372 707 387,S3071,280000,24-Feb-2021
EOR686354,EHR-60060133,Professional Services,Technical Consulting,Lamps/Lighting Interior and Exterior,E600542,E601329,Christine Digital,ABN 43 391 498 897,S3090,350000,23-Sep-2021
EOR686355,EHR-60060134,Professional Services,Other Professional Services,REAL PROPERTY RENTAL OR LEASE,E600576,E601459,Kimberly Lawyers,ABN 46 317 150 125,S3016,700000,06-Jun-2021
EOR686356,EHR-60060135,Travel,Local,COMPUTER ACCESSORIES AND SUPPLIES,E601376,E601111,Elaine Builders,ABN 41 370 432 783,S3069,680000,06-May-2022
EOR686357,EHR-60060136,Insurance,Other Insurance,Respiratory Protection Equipment and Parts (Including CPAP E,E601238,E601067,Laura Clinic,ABN 42 309 583 387,S3008,30000,18-Feb-2022
EOR686358,EHR-60060137,Insurance,Property,Well Equipment and Supply Manufacturing Services (Oil Gas,E600950,E601229,John Apparel,ABN 45 374 774 544,S3073,250000,25-Mar-2021
EOR686359,EHR-60060138,Administrative Support,Printing,RENTAL OR LEASE SERVICES OF AGRICULTURAL AIRCRAFT AIRPORT,E600014,E600457,Linda Property,ABN 47 361 621 790,S3060,720000,04-Jun-2021
EOR686360,EHR-60060139,Travel,Local,HUMAN SERVICES,E600720,E600089,Joseph Digital,ABN 47 310 480 747,S3009,260000,17-Jul-2021
EOR686361,EHR-60060140,Professional Services,Legal,HOSPITAL AND SURGICAL EQUIPMENT INSTRUMENTS AND SUPPLIES,E600968,E600069,James Events,ABN 42 389 414 773,S3088,600000,01-Nov-2021
EOR686362,EHR-60060141,Insurance,Property,Nails Brads Concrete Nails Masonry Nails Spikes Staples,E600380,E601081,Jessica Clinic,ABN 42 386 592 614,S3085,530000,27-Feb-2022
EOR686363,EHR-60060142,Information Technology,Hardware,CHEMICALS AND SOLVENTS COMMERCIAL (IN BULK),E600310,E600797,Linda Property,ABN 47 361 621 790,S3060,180000,29-Nov-2021
EOR686364,EHR-60060143,Information Technology,Software,Electrolytic Caloric and Water Balance,E600672,E600717,Richard Physiotherapy,ABN 47 326 771 456,S3025,330000,12-Jun-2021
EOR686365,EHR-60060144,Administrative Support,Stationery,Health Care Services (Not Otherwise Classified),E601454,E601119,Scott Property,ABN 48 304 420 514,S3003,260000,25-Mar-2022
EOR686366,EHR-60060145,Information Technology,Software,Analyzers and Accessories,E600314,E600103,Ryan Apparel,ABN 45 335 745 488,S3034,820000,04-Jun-2022
EOR686367,EHR-60060146,Insurance,Event,General Maintenance and Repair Vehicle (Not Otherwise Class,E600882,E600755,Andrew Finance,ABN 42 371 684 433,S3070,420000,18-Sep-2021
EOR686368,EHR-60060147,Administrative Support,Mail,TELECOMMUNICATION EQUIPMENT ACCESSORIES AND SUPPLIES,E601452,E600231,Barbara Cleaning,ABN 42 359 586 265,S3058,450000,14-May-2022
EOR686369,EHR-60060148,Travel,Local,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E601058,E600421,Laura Events,ABN 46 343 795 444,S3042,780000,03-Jun-2022
EOR686370,EHR-60060149,Travel,International,AUTOMOTIVE ACCESSORIES FOR AUTOMOBILES BUSES TRAILERS TRU,E601172,E600913,Chris Lawyers,ABN 47 393 455 339,S3092,110000,27-Apr-2022
EOR686371,EHR-60060150,Professional Services,Legal,Care Supplies Patient (Not Otherwise Classified),E600336,E600713,Mason Builders,ABN 41 329 128 864,S3028,660000,19-May-2022
EOR686372,EHR-60060151,Administrative Support,Stationery,AUTOMOTIVE AND TRAILER BODIES BODY ACCESSORIES AND PARTS,E600158,E600587,Kimberly Apparel,ABN 42 366 780 774,S3065,610000,12-Mar-2021
EOR686373,EHR-60060152,Travel,Local,LABORATORY EQUIPMENT  ACCESSORIES AND SUPPLIES: BIOCHEMIST,E601076,E600469,Stephen Events,ABN 46 390 827 581,S3089,120000,05-Dec-2021
EOR686374,EHR-60060153,Information Technology,Hardware,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600618,E600605,Robert Clinic,ABN 43 387 299 747,S3086,230000,17-Nov-2021
EOR686375,EHR-60060154,Professional Services,Legal,Paper Products: Cups Doilies Napkins Plates Straws Faci,E600086,E601489,Laura Clinic,ABN 42 309 583 387,S3008,470000,22-Apr-2022
EOR686376,EHR-60060155,Professional Services,Engineering,Sutures and Suturing Needles Disposable (Including Skin Sta,E600004,E601091,Ronald Accounting,ABN 44 394 582 439,S3093,340000,21-Apr-2022
EOR686377,EHR-60060156,Information Technology,Hardware,Medical and Dental Equipment and Supplies,E600374,E600647,Christine Trading,ABN 43 365 431 228,S3064,610000,18-Oct-2021
EOR686378,EHR-60060157,Administrative Support,Stationery,CLOTHING: ATHLETIC CASUAL DRESS UNIFORM WEATHER AND WORK,E600026,E601309,Patrick Apparel,ABN 48 339 691 515,S3038,200000,19-Jun-2022
EOR686379,EHR-60060158,Insurance,Commercial,Gloves and Finger Cots Medical Type,E600490,E600649,Rachel Accounting,ABN 47 346 628 832,S3045,290000,19-Sep-2021
EOR686380,EHR-60060159,Travel,International,Eye Glasses Including Sunglasses  (Including Frames Cases,E600520,E600791,Scott Builders,ABN 42 331 129 734,S3030,210000,30-May-2022
EOR686381,EHR-60060160,Administrative Support,Mail,Switches Parts and Accessories (Miscellaneous),E600158,E600141,Nancy Management,ABN 42 383 612 748,S3082,260000,26-Mar-2021
EOR686382,EHR-60060161,Professional Services,Engineering,Hand Tools (Not Otherwise Classified),E600294,E600865,Ryan Apparel,ABN 45 335 745 488,S3034,590000,14-May-2021
EOR686383,EHR-60060162,Professional Services,Engineering,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600484,E601361,Ronald Hotel,ABN 46 345 649 637,S3044,660000,29-Dec-2021
EOR686384,EHR-60060163,Professional Services,Other Professional Services,Paper Products: Cups Doilies Napkins Plates Straws Faci,E600180,E601343,Cindy Clinic,ABN 41 347 279 364,S3046,200000,15-Jul-2021
EOR686385,EHR-60060164,Insurance,Other Insurance,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E601178,E600803,William Finance,ABN 42 385 674 247,S3084,760000,21-Apr-2022
EOR686386,EHR-60060165,Information Technology,Hardware,Community Development Consulting,E600560,E601329,Kevin Computers,ABN 44 344 159 482,S3043,220000,14-May-2021
EOR686387,EHR-60060166,Administrative Support,Stationery,Camera Carrying Cases Gadget Bags etc.,E600816,E600161,Jared Builders,ABN 47 328 550 156,S3027,800000,12-Jan-2022
EOR686388,EHR-60060167,Professional Services,Other Professional Services,PAINT PROTECTIVE COATINGS VARNISH WALLPAPER AND RELATED,E600100,E601077,William Finance,ABN 42 385 674 247,S3084,340000,10-Jan-2022
EOR686389,EHR-60060168,Insurance,Commercial,Paper Products: Cups Doilies Napkins Plates Straws Faci,E600224,E601103,Whitney Management,ABN 41 348 545 880,S3047,580000,25-Feb-2022
EOR686390,EHR-60060169,Administrative Support,Printing,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601474,E601363,Gabriel Digital,ABN 46 363 785 828,S3062,880000,08-Feb-2022
EOR686391,EHR-60060170,Travel,International,Nails Brads Concrete Nails Masonry Nails Spikes Staples,E601310,E601181,Stephanie Clinic,ABN 47 377 126 660,S3076,280000,17-May-2022
EOR686392,EHR-60060171,Professional Services,Technical Consulting,AUTOMOTIVE AND TRAILER BODIES BODY ACCESSORIES AND PARTS,E600860,E600701,Scott Property,ABN 48 304 420 514,S3003,300000,08-Feb-2021
EOR686393,EHR-60060172,Administrative Support,Printing,Medical and Dental Equipment and Supplies,E600704,E601179,Alexandra Builders,ABN 46 382 880 578,S3081,600000,17-Jul-2021
EOR686394,EHR-60060173,Administrative Support,Printing,General Maintenance and Repair Vehicle (Not Otherwise Class,E600256,E601019,Stephanie Finance,ABN 42 341 567 697,S3040,650000,11-Jan-2022
EOR686395,EHR-60060174,Administrative Support,Mail,Medical and Dental Equipment and Supplies,E600982,E600515,Kelly Finance,ABN 48 314 682 276,S3013,650000,20-Dec-2021
EOR686396,EHR-60060175,Administrative Support,Mail,Sutures and Suturing Needles Disposable (Including Skin Sta,E600494,E600699,Monica Finance,ABN 47 315 872 738,S3014,310000,10-May-2022
EOR686397,EHR-60060176,Insurance,Event,PAINT PROTECTIVE COATINGS VARNISH WALLPAPER AND RELATED,E600070,E601019,Michael Clinic,ABN 43 369 376 360,S3068,560000,15-Feb-2022
EOR686398,EHR-60060177,Professional Services,Technical Consulting,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601146,E600583,Gabriel Digital,ABN 46 363 785 828,S3062,210000,04-Jun-2021
EOR686399,EHR-60060178,Insurance,Property,REFRIGERATION EQUIPMENT AND ACCESSORIES,E600006,E600377,John Lawyers,ABN 44 308 583 722,S3007,480000,14-Feb-2021
EOR686400,EHR-60060179,Insurance,Property,Rent Exhibit Space Onsite,E601460,E600857,Joshua Property,ABN 45 303 156 248,S3002,500000,23-Sep-2021
EOR686401,EHR-60060180,Insurance,Other Insurance,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600796,E600933,Ann Physiotherapy,ABN 41 375 498 344,S3074,200000,13-May-2022
EOR686402,EHR-60060181,Professional Services,Engineering,Electrolytic Caloric and Water Balance,E600250,E600721,Steven Hotel,ABN 48 364 668 375,S3063,670000,01-Jan-2022
EOR686403,EHR-60060182,Travel,Local,Dispensers Hospital (Not Otherwise Classified),E600054,E600589,Cesar Cleaning,ABN 46 316 576 365,S3015,380000,24-Sep-2021
EOR686404,EHR-60060183,Insurance,Event,Cleaning Materials (For Dairy Equipment): Chlorine Sanitizer,E600748,E600049,Stephen Events,ABN 46 390 827 581,S3089,340000,23-Nov-2021
EOR686405,EHR-60060184,Travel,International,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600770,E601007,Kimberly Lawyers,ABN 46 317 150 125,S3016,430000,03-Dec-2021
EOR686406,EHR-60060185,Insurance,Event,EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR GENERAL EQUIPM,E600388,E600971,Kelly Finance,ABN 48 314 682 276,S3013,30000,08-Sep-2021
EOR686407,EHR-60060186,Insurance,Other Insurance,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E600682,E601421,Paul Builders,ABN 46 342 354 501,S3041,650000,12-Jan-2022
EOR686408,EHR-60060187,Professional Services,Legal,General Maintenance and Repair Vehicle (Not Otherwise Class,E600682,E600779,Elaine Builders,ABN 41 370 432 783,S3069,160000,23-May-2021
EOR686409,EHR-60060188,Travel,Local,FEED BEDDING VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLA,E600062,E601419,Michael Clinic,ABN 43 369 376 360,S3068,300000,09-Apr-2021
EOR686410,EHR-60060189,Administrative Support,Mail,ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC),E601358,E601247,Joel Clinic,ABN 42 334 277 307,S3033,630000,13-Jan-2022
EOR686411,EHR-60060190,Administrative Support,Stationery,Paper Products: Cups Doilies Napkins Plates Straws Faci,E600526,E601471,Keith Management,ABN 46 333 653 400,S3032,590000,10-May-2022
EOR686412,EHR-60060191,Insurance,Other Insurance,REAL PROPERTY RENTAL OR LEASE,E600958,E600005,Barbara Cleaning,ABN 42 359 586 265,S3058,250000,28-Mar-2022
EOR686413,EHR-60060192,Travel,Local,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E600146,E600463,Elaine Builders,ABN 41 370 432 783,S3069,560000,12-Sep-2021
EOR686414,EHR-60060193,Professional Services,Technical Consulting,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,E600204,E600091,Christine Trading,ABN 43 365 431 228,S3064,630000,23-Mar-2021
EOR686415,EHR-60060194,Information Technology,Software,TELECOMMUNICATION EQUIPMENT ACCESSORIES AND SUPPLIES,E600106,E600581,Mary Clinic,ABN 47 384 405 272,S3083,380000,29-Mar-2022
EOR686416,EHR-60060195,Professional Services,Other Professional Services,Transportation of Goods and Other Freight Services,E601326,E601389,Julie Apparel,ABN 42 398 293 588,S3097,330000,22-Oct-2021
EOR686417,EHR-60060196,Administrative Support,Stationery,Needles Specialized: Amniocentesis Type Biopsy Spinal Su,E601172,E600741,Mary Clinic,ABN 47 384 405 272,S3083,360000,26-Nov-2021
EOR686418,EHR-60060197,Insurance,Event,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601196,E601333,Kenneth Hotel,ABN 43 306 153 129,S3005,300000,02-Oct-2021
EOR686419,EHR-60060198,Administrative Support,Stationery,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600898,E600117,Ryan Builders,ABN 46 321 575 688,S3020,190000,29-Nov-2021
EOR686420,EHR-60060199,Travel,Local,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601402,E601495,Keith Management,ABN 46 333 653 400,S3032,300000,13-Oct-2021
EOR686421,EHR-600601100,Insurance,Other Insurance,Multi-Function Office Machines (Combination of Fax-Copier-Sc,E600202,E600425,Mason Builders,ABN 41 329 128 864,S3028,850000,24-May-2021
EOR686422,EHR-600601101,Insurance,Property,CHEMICALS AND SOLVENTS COMMERCIAL (IN BULK),E601002,E601259,Michael Clinic,ABN 43 369 376 360,S3068,650000,13-Feb-2021
EOR686423,EHR-600601102,Professional Services,Engineering,HOSPITAL SURGICAL AND MEDICAL RELATED ACCESSORIES AND SUND,E600688,E600203,Michael Hotel,ABN 46 325 766 730,S3024,370000,13-Jun-2022
EOR686424,EHR-600601103,Insurance,Other Insurance,Analyzers and Accessories,E601426,E600159,Ryan Apparel,ABN 45 335 745 488,S3034,300000,21-Jun-2021
EOR686425,EHR-600601104,Administrative Support,Printing,Boiler Maintenance and Repair Steam (Including Testing Serv,E600596,E601361,John Apparel,ABN 45 374 774 544,S3073,620000,12-Mar-2021
EOR686426,EHR-600601105,Administrative Support,Stationery,Detergent Surgical Scrub All Types,E601250,E600847,Kelly Finance,ABN 48 314 682 276,S3013,540000,22-Jun-2021
EOR686427,EHR-600601106,Professional Services,Other Professional Services,HOSPITAL AND SURGICAL EQUIPMENT INSTRUMENTS AND SUPPLIES,E601018,E600889,Alex Apparel,ABN 43 357 160 878,S3056,230000,21-May-2021
EOR686428,EHR-600601107,Administrative Support,Stationery,Pails Buckets Tubs etc. (See 450-34 and 450-87 for Other,E600460,E600909,Nicholas Computers,ABN 44 356 165 369,S3055,40000,15-Sep-2021
EOR686429,EHR-600601108,Travel,International,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600850,E600687,Alexandra Builders,ABN 46 382 880 578,S3081,680000,16-Nov-2021
EOR686430,EHR-600601109,Travel,International,FURNITURE- OFFICE;BOOKCASE/CHAIR/DESK/FILE CABINET,E600554,E600973,Nancy Management,ABN 42 383 612 748,S3082,750000,25-Sep-2021
EOR686431,EHR-600601110,Travel,Local,Installation of Computers Peripherals and Related Equipmen,E601264,E600691,Kevin Clinic,ABN 46 354 260 532,S3053,710000,14-May-2022
EOR686432,EHR-600601111,Administrative Support,Printing,TELECOMMUNICATION EQUIPMENT ACCESSORIES AND SUPPLIES,E600670,E600477,Robert Clinic,ABN 43 387 299 747,S3086,290000,11-May-2022
EOR686433,EHR-600601112,Information Technology,Hardware,HVAC Equipment Accessories and Supplies (Not Otherwise Clas,E601366,E601395,Ryan Apparel,ABN 45 335 745 488,S3034,700000,28-Jan-2022
EOR686434,EHR-600601113,Administrative Support,Stationery,CHEMICALS AND SOLVENTS COMMERCIAL (IN BULK),E601462,E601227,Ryan Apparel,ABN 45 335 745 488,S3034,480000,03-Jan-2022
EOR686435,EHR-600601114,Insurance,Property,AUTOMOTIVE ACCESSORIES FOR AUTOMOBILES BUSES TRAILERS TRU,E600012,E601151,Keith Management,ABN 46 333 653 400,S3032,570000,06-Apr-2022
EOR686436,EHR-600601115,Professional Services,Technical Consulting,Controls Programmable,E601124,E600287,Victoria Digital,ABN 46 338 412 668,S3037,160000,06-May-2022
EOR686437,EHR-600601116,Insurance,Other Insurance,Orthopedic Equipment: Bone Plates Bone Saws Cast Cutters,E601008,E600249,Victoria Digital,ABN 46 338 412 668,S3037,530000,03-Aug-2021
EOR686438,EHR-600601117,Professional Services,Legal,Surgical Instruments Operating Room Grade,E600876,E600475,Brandy Physiotherapy,ABN 45 392 543 107,S3091,660000,04-Mar-2021
EOR686439,EHR-600601118,Insurance,Property,Transportation of Goods and Other Freight Services,E601264,E600385,Michele Management,ABN 44 378 482 301,S3077,260000,16-Mar-2022
EOR686440,EHR-600601119,Insurance,Property,Copying Services (Reproduction),E600812,E601093,Christie Property,ABN 45 349 357 654,S3048,360000,07-Jun-2022
EOR686441,EHR-600601120,Professional Services,Technical Consulting,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600002,E600925,Jacob Physiotherapy,ABN 44 352 560 555,S3051,630000,05-Jul-2021
EOR686442,EHR-600601121,Insurance,Event,Refrigerators and Freezers,E600022,E600557,Kevin Computers,ABN 44 344 159 482,S3043,110000,14-Dec-2021
EOR686443,EHR-600601122,Travel,International,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,E600604,E600395,Maria Consulting,ABN 47 320 810 296,S3019,170000,02-May-2021
EOR686444,EHR-600601123,Professional Services,Technical Consulting,Care Supplies Patient (Not Otherwise Classified),E601228,E601059,Chelsea Builders,ABN 42 395 758 883,S3094,170000,18-Jun-2021
EOR686445,EHR-600601124,Information Technology,Hardware,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600486,E600427,Kevin Computers,ABN 44 344 159 482,S3043,410000,16-Apr-2022
EOR686446,EHR-600601125,Insurance,Property,Nitrogen and Oxygen Liquid,E600300,E600805,Sara Lawyers,ABN 41 358 411 432,S3057,670000,31-Dec-2021
EOR686447,EHR-600601126,Administrative Support,Stationery,Professional Services (Not Otherwise Classified),E600018,E600515,William Finance,ABN 42 385 674 247,S3084,270000,27-Jun-2021
EOR686448,EHR-600601127,Professional Services,Engineering,Surgical Instruments Operating Room Grade,E600152,E600353,Matthew Lawyers,ABN 43 360 354 182,S3059,220000,11-Apr-2022
EOR686449,EHR-600601128,Insurance,Commercial,COMPUTER SOFTWARE FOR MINI AND MAINFRAME COMPUTERS (PREPROGR,E601266,E601397,Stephen Events,ABN 46 390 827 581,S3089,780000,24-Sep-2021
EOR686450,EHR-600601129,Travel,Local,HAND TOOLS (POWERED AND NON-POWERED) ACCESSORIES AND SUPPLI,E600738,E601035,Jose Builders,ABN 44 379 589 591,S3078,510000,22-May-2021
EOR686451,EHR-600601130,Information Technology,Software,Head Ear Eye and Face Protection,E600258,E600571,Joseph Digital,ABN 47 310 480 747,S3009,750000,29-Jul-2021
EOR686452,EHR-600601131,Insurance,Event,Paper Products: Cups Doilies Napkins Plates Straws Faci,E600528,E600897,Christine Digital,ABN 43 391 498 897,S3090,770000,17-Jun-2021
EOR686453,EHR-600601132,Professional Services,Engineering,Transportation of Goods and Other Freight Services,E601222,E601163,Ronald Hotel,ABN 46 345 649 637,S3044,360000,24-Jun-2021
EOR686454,EHR-600601133,Professional Services,Other Professional Services,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600632,E600351,Paul Builders,ABN 46 342 354 501,S3041,870000,04-Oct-2021
EOR686455,EHR-600601134,Professional Services,Engineering,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600552,E601227,Katherine Lawyers,ABN 43 305 792 134,S3004,250000,10-Mar-2021
EOR686456,EHR-600601135,Insurance,Property,Hardware Fittings Parts and Supplies Boat (Except Spark,E600638,E600383,Stephen Events,ABN 46 390 827 581,S3089,860000,28-Apr-2022
EOR686457,EHR-600601136,Administrative Support,Mail,RENTAL OR LEASE SERVICES OF AGRICULTURAL AIRCRAFT AIRPORT,E600372,E600709,Linda Property,ABN 47 361 621 790,S3060,810000,22-Dec-2021
EOR686458,EHR-600601137,Travel,International,Needles Specialized: Amniocentesis Type Biopsy Spinal Su,E600056,E600075,Jose Finance,ABN 45 318 829 567,S3017,200000,12-Feb-2021
EOR686459,EHR-600601138,Insurance,Property,Industrial Equipment (Not Construction and Repair or HVAC),E600114,E600577,Gabriel Digital,ABN 46 363 785 828,S3062,890000,27-Aug-2021
EOR686460,EHR-600601139,Administrative Support,Printing,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600800,E600065,Kimberly Apparel,ABN 42 366 780 774,S3065,550000,11-Feb-2022
EOR686461,EHR-600601140,Information Technology,Hardware,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601144,E600991,Nicole Services,ABN 41 353 692 664,S3052,140000,30-Mar-2021
EOR686462,EHR-600601141,Insurance,Property,HAND TOOLS (POWERED AND NON-POWERED) ACCESSORIES AND SUPPLI,E600586,E601191,Christine Digital,ABN 43 391 498 897,S3090,410000,11-Dec-2021
EOR686463,EHR-600601142,Travel,International,Medical and Dental Equipment and Supplies,E600242,E600107,Paul Builders,ABN 46 342 354 501,S3041,570000,01-Jun-2022
EOR686464,EHR-600601143,Professional Services,Technical Consulting,Electrolytic Caloric and Water Balance,E600052,E600013,John Apparel,ABN 45 374 774 544,S3073,320000,17-Apr-2021
